date,open,high,low,close,volume,oi
05/25/1992,1411.98,1428.79,1339.99,1421.57,88969,0
05/26/1992,1332.39,1429.01,1291,1301.35,68128,0
05/27/1992,1250.56,1285.61,823.36,1193.17,64528,0
05/28/1992,1123.04,1184.18,1114.94,1160.17,48389,0
05/29/1992,1243.65,1253.37,1154.01,1234.71,51615,0
06/01/1992,1175.69,1249.58,1129.28,1183.24,39394,0
06/02/1992,1155.88,1184.28,1138.58,1141.02,34033,0
06/03/1992,1075.9,1141.02,1033.47,1059.07,41002,0
06/04/1992,1087.49,1118.93,1050.45,1104.46,43184,0
06/05/1992,1125.01,1143.07,1099.91,1105.76,44007,0
06/08/1992,1092.07,1121.41,1085.19,1093.46,28747,0
06/09/1992,1116.92,1144.39,1079.65,1126.62,35100,0
06/10/1992,1199.23,1206.51,1134.73,1187.02,58732,0
06/11/1992,1179.28,1188.68,1172.09,1178.3,34897,0
06/12/1992,1164.12,1178.3,1153.97,1171.71,47202,0
06/15/1992,1174.41,1181.86,1152.69,1171.85,37747,0
06/16/1992,1171.75,1171.75,1135.61,1166.7,35158,0
06/17/1992,1171.29,1186.59,1166.26,1169.57,34755,0
06/18/1992,1167.16,1172.86,1158.32,1168.43,29101,0
06/19/1992,1169.97,1171.94,1161.8,1171.94,25146,0
06/22/1992,1173.68,1180.21,1165.74,1169.9,27924,0
06/23/1992,1162.83,1172.46,1154.62,1158.17,19490,0
06/24/1992,1150.89,1158.17,1144.46,1151.06,16975,0
06/25/1992,1153.48,1160.23,1148.02,1160.23,19846,0
06/26/1992,1164.29,1207.82,1160.23,1164.67,29061,0
06/29/1992,1168.89,1173.49,1156.68,1169.51,53610,0
06/30/1992,1186.62,1193.16,1169.51,1191.19,58976,0
07/01/1992,1199.54,1215.13,1182.05,1194.18,58330,0
07/02/1992,1187.3,1198.66,1179.86,1187.48,46512,0
07/03/1992,1189.09,1193.39,1183.96,1189.16,75245,0
07/06/1992,1197.76,1215.24,1190.27,1201.01,63782,0
07/07/1992,1201.01,1206.91,1195.81,1206.46,68826,0
07/08/1992,1192.37,1211.27,1182.72,1185.5,68043,0
07/09/1992,1172.44,1187.18,1168.78,1178.53,53216,0
07/10/1992,1175.14,1192.98,1166.45,1188.62,58149,0
07/13/1992,1156.83,1198.9,1131.21,1136.33,51595,0
07/14/1992,1124.65,1139.96,1110.19,1114.05,44462,0
07/15/1992,1107.18,1135.57,1100.16,1107.69,44812,0
07/16/1992,1114.13,1214.83,1108.23,1124.64,50464,0
07/17/1992,1121.49,1134.32,1116.14,1125.56,62671,0
07/20/1992,1100.6,1126.96,1094.81,1098.82,31699,0
07/21/1992,1087.61,1096.49,1079.75,1082.39,35912,0
07/22/1992,1059.22,1081.81,1034.91,1035.66,47347,0
07/23/1992,1020.07,1033.75,961.61,1014.57,77014,0
07/24/1992,1165.89,1178.9,1014.08,1142.02,57155,0
07/27/1992,1169.42,1178.81,1108.05,1149.33,59560,0
07/28/1992,1126.88,1148.63,1102.02,1105.95,78387,0
07/29/1992,1078.31,1108.06,1047.03,1087.12,68987,0
07/30/1992,1067.45,1087.36,1043.79,1057.4,99108,0
07/31/1992,1045.67,1052.07,1032.54,1052.07,87149,0
08/03/1992,1034.7,1060.36,1026.83,1031.55,60103,0
